0 200 7 12 12 7 8 7 11 7 10 6 10 11 5 9 6 6 12 9 7 10 6 11 9 9 6 7 7 10 13 6 5 6 6 5 6 4 6 8 7 7 6 9 7 6 8 6 6 6 5 5 15 10 14 8 6 7 9 12 9 11 8 8 11 8 7 7 7 11 4 5 8 8 9 9 7 10 9 8 9 11 8 11 8 9 10 9 9 9 6 6 8 5 8 7 10 11 8 8 7 10 9 13 5 5 5 6 8 8 9 8 7 7 8 11 6 8 7 11 10 8 6 8 7 15 6 8 5 10 8 10 10 6 7 8 11 5 5 12 9 5 9 11 4 6 7 7 8 11 10 8 9 8 11 13 7 7 6 12 7 11 7 9 7 6 9 8 6 10 6 9 8 9 9 7 3 7 9 11 8 6 7 12 6 8 11 11 6 7 6 11 5 6 4 6 6 7 11 5 9 8 
100 200 10 14 14 13 10 10 12 9 13 7 12 18 5 11 6 7 14 13 7 13 7 13 11 12 9 8 8 12 14 5 5 9 7 5 6 3 7 10 9 7 7 11 11 7 9 9 9 8 5 7 19 11 19 12 8 7 10 15 10 11 10 10 12 9 9 13 8 13 2 5 11 9 12 11 10 11 11 10 12 12 10 16 9 13 11 13 10 10 9 8 10 8 12 10 16 13 14 11 10 12 11 16 7 5 8 7 14 8 11 9 9 8 10 16 9 10 14 15 12 10 6 10 8 18 7 12 9 12 13 13 10 6 9 11 13 6 7 14 9 4 10 14 3 9 9 8 11 13 12 8 14 10 13 16 9 7 10 16 11 11 9 11 9 6 10 8 9 13 7 11 9 12 10 8 3 10 11 13 8 9 10 13 7 10 13 15 8 9 9 13 11 9 4 7 6 8 15 7 10 9 
200 200 10 14 14 13 13 11 12 7 12 6 12 19 4 10 6 7 15 13 7 14 6 14 11 14 9 8 6 13 14 4 3 9 6 5 6 0 2 10 9 9 10 11 12 6 9 9 7 8 6 9 19 11 23 10 10 11 10 17 10 14 10 10 11 10 9 15 7 13 0 0 12 10 12 9 9 10 12 10 12 12 10 18 9 13 11 13 11 10 9 8 10 7 14 11 15 13 14 12 11 15 11 17 6 4 10 7 16 10 12 9 11 8 10 17 9 9 13 16 13 10 6 10 8 19 6 12 10 12 17 14 10 6 10 11 14 9 7 14 9 2 9 15 0 8 9 9 11 13 11 8 16 14 15 16 9 7 9 17 11 11 7 13 9 5 9 9 9 13 6 12 8 15 12 10 0 11 13 14 8 10 11 14 6 12 14 18 11 9 8 14 14 8 0 7 7 10 15 7 10 6 
300 200 9 13 13 15 14 11 12 6 12 6 12 21 1 11 6 2 15 13 8 15 5 14 11 15 6 7 4 12 15 2 0 9 2 4 5 0 0 10 8 7 9 12 14 6 11 10 7 8 3 8 19 11 23 11 11 10 10 17 10 15 10 11 11 10 6 14 7 14 0 0 12 10 13 12 9 9 11 10 12 12 11 18 9 13 12 14 13 10 9 7 10 7 15 10 14 14 15 12 12 18 11 17 6 0 9 7 16 10 13 9 9 8 10 17 8 9 13 18 13 9 4 10 8 19 6 12 10 13 17 13 11 5 11 12 13 6 5 14 9 0 7 14 0 7 9 8 11 13 12 7 17 14 16 17 7 6 11 18 10 10 6 12 9 0 9 9 8 14 6 11 7 16 12 8 0 15 12 15 10 11 12 14 1 14 14 18 11 9 8 15 12 8 0 4 7 9 15 4 10 5 
400 200 9 14 12 15 15 11 13 6 12 5 12 20 0 11 1 0 15 13 8 13 2 14 11 14 5 4 0 12 15 0 0 9 0 0 2 0 0 9 6 7 8 12 14 4 10 10 5 7 0 7 19 12 25 10 10 11 10 16 8 14 9 11 9 9 5 15 5 13 0 0 11 11 13 12 9 8 11 10 14 10 10 18 8 14 12 16 12 10 10 5 9 5 15 10 15 16 15 13 13 18 11 17 5 0 8 6 16 8 14 7 10 8 11 15 8 9 13 19 12 9 0 11 6 20 5 12 9 12 17 13 9 1 9 10 14 2 3 14 9 0 2 14 0 7 8 8 11 13 12 2 15 16 14 17 5 5 10 18 10 12 4 11 8 0 10 8 6 13 6 10 5 16 12 9 0 14 10 14 10 11 12 14 0 14 17 21 10 8 6 14 11 6 0 0 5 9 14 2 11 4 
500 200 8 14 12 15 14 11 12 1 12 3 11 19 0 11 0 0 14 14 6 13 0 13 9 14 4 0 0 13 15 0 0 8 0 0 0 0 0 8 4 5 8 15 12 0 10 10 0 5 0 5 20 11 24 11 9 11 11 16 7 13 8 9 10 8 3 14 2 13 0 0 9 11 12 11 7 4 12 9 14 10 10 17 8 14 11 16 12 9 8 2 9 3 14 8 14 13 15 10 12 18 12 18 2 0 6 5 15 7 14 6 11 7 11 16 8 9 11 19 13 8 0 8 3 21 3 11 6 10 17 12 7 0 9 11 14 1 0 15 9 0 1 14 0 7 8 8 10 13 13 0 16 16 15 18 2 3 12 17 8 10 2 10 7 0 10 8 4 15 3 8 1 17 11 8 0 14 11 14 8 11 12 14 0 13 15 21 10 5 7 14 12 3 0 0 5 9 15 0 9 0 
600 200 5 14 12 14 14 11 10 0 12 0 11 19 0 10 0 0 16 14 5 13 0 13 9 14 0 0 0 13 15 0 0 6 0 0 0 0 0 8 3 4 5 13 12 0 9 9 0 3 0 2 18 12 22 11 8 11 9 16 5 13 7 10 10 8 0 15 0 12 0 0 10 9 11 9 7 3 12 9 13 10 11 17 7 15 10 14 13 9 6 0 9 0 12 8 14 12 14 9 9 18 11 20 0 0 4 0 16 5 13 6 8 5 9 16 5 9 11 20 13 8 0 7 1 19 0 12 6 11 16 12 6 0 8 10 14 0 0 16 8 0 0 15 0 7 6 5 9 13 12 0 16 14 14 19 0 0 14 15 8 9 0 11 4 0 10 8 0 15 0 7 0 18 10 8 0 12 11 13 7 11 12 16 0 14 15 23 10 5 4 14 12 0 0 0 3 9 15 0 9 0 
700 200 4 14 12 14 14 10 9 0 11 0 10 18 0 10 0 0 14 12 0 14 0 12 9 12 0 0 0 13 14 0 0 0 0 0 0 0 0 7 0 0 3 13 12 0 6 9 0 0 0 0 17 10 24 12 6 10 8 17 1 13 3 9 9 8 0 12 0 11 0 0 12 9 11 9 6 0 11 8 11 9 9 16 4 16 10 13 10 6 5 0 8 0 13 6 14 12 14 9 8 17 11 19 0 0 0 0 15 2 12 2 6 0 9 13 0 8 12 21 13 7 0 6 0 20 0 12 6 12 18 11 5 0 7 8 14 0 0 15 7 0 0 16 0 6 3 4 7 11 12 0 16 13 15 19 0 0 15 16 8 10 0 10 4 0 10 7 0 14 0 7 0 18 9 6 0 12 10 13 4 12 11 15 0 14 14 21 8 3 1 15 11 0 0 0 0 6 15 0 8 0 
800 200 4 14 13 14 14 9 9 0 10 0 10 19 0 9 0 0 13 13 0 14 0 12 8 13 0 0 0 13 13 0 0 0 0 0 0 0 0 6 0 0 0 12 11 0 5 8 0 0 0 0 17 11 25 11 5 10 7 17 0 13 2 7 9 6 0 10 0 12 0 0 12 9 11 8 4 0 11 6 11 7 9 17 0 15 8 13 10 5 2 0 7 0 13 5 13 13 13 9 8 16 10 19 0 0 0 0 16 0 11 0 5 0 9 13 0 8 12 22 13 5 0 4 0 19 0 10 3 11 19 10 2 0 7 8 13 0 0 17 6 0 0 14 0 4 0 0 8 9 10 0 16 12 14 21 0 0 15 17 6 10 0 10 0 0 11 6 0 13 0 6 0 21 9 5 0 11 9 13 1 14 11 15 0 14 14 20 7 0 0 14 11 0 0 0 0 6 15 0 5 0 
900 200 2 14 13 10 12 9 8 0 10 0 9 18 0 8 0 0 13 13 0 11 0 12 7 13 0 0 0 12 12 0 0 0 0 0 0 0 0 5 0 0 0 12 10 0 2 7 0 0 0 0 17 12 24 12 4 9 8 16 0 11 0 7 8 4 0 8 0 13 0 0 10 7 9 7 1 0 11 6 11 6 7 18 0 17 7 13 10 3 0 0 6 0 12 4 13 12 15 9 8 15 7 21 0 0 0 0 15 0 11 0 3 0 8 12 0 7 11 24 13 2 0 0 0 18 0 8 0 11 20 9 0 0 7 6 13 0 0 17 3 0 0 11 0 0 0 0 8 9 9 0 17 13 15 22 0 0 12 16 6 9 0 10 0 0 9 4 0 13 0 0 0 18 7 2 0 11 9 13 0 13 11 17 0 12 16 20 6 0 0 15 11 0 0 0 0 2 15 0 3 0 
